49.9,84.1,65.2,20.5,47.3,52.7,43.5,77.1,66.7,93.6
54.7,38.5,100.0,0.0,42.2,57.8,7.9,93.5,94.4,72.0
50.0,41.1,100.0,6.8,43.5,56.5,13.1,85.7,94.4,83.8
69.3,51.9,65.2,0.0,41.6,58.4,8.0,87.3,94.4,79.5
54.4,24.4,100.0,4.5,33.1,66.9,6.1,93.2,94.4,66.2
75.4,86.5,65.2,11.4,13.9,86.1,6.5,57.9,74.1,63.6
72.7,55.8,63.6,9.1,40.6,59.4,3.9,97.2,96.3,72.6
75.0,71.8,65.2,13.6,34.3,65.7,13.6,73.7,79.6,78.0
76.1,51.7,100.0,9.1,39.9,60.1,5.4,88.0,100.0,62.6
80.9,63.5,63.6,6.8,21.2,78.8,6.5,93.9,96.3,63.0
77.5,86.5,100.0,54.5,17.5,82.5,41.1,78.0,90.7,65.4
78.3,90.8,100.0,54.5,21.2,78.8,10.1,70.2,98.1,58.6
62.7,91.6,100.0,88.6,6.6,93.4,18.4,43.7,55.6,64.1
74.3,87.0,100.0,27.3,23.0,77.0,19.7,87.1,96.3,79.7
65.4,78.6,100.0,45.5,32.3,67.7,15.6,76.9,98.1,68.7
68.5,93.6,100.0,97.7,29.1,70.9,43.2,42.4,31.5,91.7
72.3,80.1,100.0,11.4,28.8,71.2,12.1,80.0,96.3,70.4
84.4,88.8,100.0,43.2,37.7,62.3,22.4,72.0,90.7,88.8
89.3,83.3,100.0,31.8,50.5,49.5,23.6,72.6,92.6,79.2
85.8,90.6,100.0,38.6,24.3,75.7,24.7,71.7,85.2,79.6
72.4,96.9,100.0,100.0,19.9,80.1,17.9,35.8,22.2,77.9
93.6,98.6,100.0,88.6,6.4,93.6,1.2,24.6,37.0,10.5
69.6,90.7,100.0,31.8,8.1,91.9,20.0,39.8,51.9,37.1
92.6,97.6,100.0,88.6,7.0,93.0,4.5,49.4,37.0,26.6
76.8,93.2,100.0,75.0,23.6,76.4,27.8,62.8,66.7,79.0
98.4,96.6,100.0,88.6,1.9,98.1,7.2,17.5,37.0,5.8
84.4,96.0,100.0,93.2,4.9,95.1,8.6,37.9,37.0,19.2
80.6,96.7,100.0,84.1,15.5,84.5,11.5,62.6,83.3,69.5
39.6,89.8,100.0,22.7,8.8,91.2,77.3,46.0,42.6,52.2
90.8,97.3,87.9,61.4,2.6,97.4,1.6,0.0,35.2,6.5
88.3,96.6,87.9,52.3,2.9,97.1,19.8,15.7,35.2,3.5
63.8,90.8,87.9,81.8,13.7,86.3,34.9,16.4,33.3,66.3
84.8,95.7,87.9,61.4,17.8,82.2,30.1,39.6,64.8,68.2
78.1,97.5,87.9,63.6,4.6,95.4,2.0,9.7,20.4,15.1
100.0,99.6,87.9,54.5,18.3,81.7,44.5,39.4,24.1,85.3
64.9,96.2,87.9,65.9,10.4,89.6,28.1,29.3,64.8,54.7
47.5,88.0,87.9,77.3,17.3,82.7,25.1,52.4,55.6,74.5
76.9,90.1,87.9,29.5,26.6,73.4,16.8,61.5,55.6,67.8
54.9,83.8,87.9,15.9,5.0,95.0,30.7,54.5,66.7,26.2
37.0,87.3,87.9,40.9,13.2,86.8,24.8,54.7,35.2,42.1
84.9,95.1,87.9,29.5,28.6,71.4,72.0,49.7,61.1,66.0
86.0,94.1,87.9,84.1,2.2,97.8,3.6,18.7,11.1,13.2
82.3,92.7,87.9,47.7,51.2,48.8,25.4,46.5,64.8,84.8
69.6,90.5,87.9,52.3,40.9,59.1,43.2,47.3,57.4,96.3
32.9,91.7,87.9,38.6,4.1,95.9,19.2,57.3,59.3,54.4
17.4,90.2,87.9,61.4,16.6,83.4,24.2,51.1,66.7,82.5
61.3,89.3,87.9,84.1,22.9,77.1,32.3,20.3,24.1,88.6
72.0,91.8,87.9,31.8,31.1,68.9,41.7,54.6,51.9,86.1
55.3,75.3,87.9,38.6,27.7,72.3,32.0,33.7,7.4,88.4
72.0,91.8,87.9,48.9,1.4,98.6,6.7,55.2,51.9,62.1
46.8,93.5,87.9,54.5,28.1,71.9,30.4,36.1,51.9,84.3
83.8,95.8,87.9,47.7,30.4,69.6,23.0,11.4,27.8,64.3
