tujunga,760900,650600,919346,678382,511772
beverly-grove,935293,3590830,1639337,991811,2408425
hollywood-hills,2073255,1303531,970840,967585,3196715
altadena,941490,749647,978214,971527,632422
griffith-park,2916403
westmont,447151,427067,383681,461068,394473
west-los-angeles,1529366,1708542,1968800,2773606,1371831
mid-city,1120455,951345,702464,1326006,1252839
gardena,516339,394027,380250,390261,493370
lincoln-heights,454947,497718,376891,605075,465367
larchmont,928180,943519,1469659,1421203,1010495
reseda,536428,470902,480564,432403,638645
lake-view-terrace,469472,483886,446338,441723,520929
exposition-park,387139,392275,535450,469175,469036
